ID,EN_NAME,GR_NAME,LINES,LAT,LONG
S427,Petriti,Πετριτή 2 (τέρμα),"B12, B2, SCHOOL",39.453446348558,19.999824032253
S426R,Petriti 1,Πετριτή 1,"B12, B2, SCHOOL",39.451159963789,19.995081370218
S421,Volimies,Βολιμιές,"B12, B2, SCHOOL",39.450985863786,19.983430929964
S420,Neochoraki,Νεοχωράκι,"B12, B2, SCHOOL",39.440919131073,19.979481761126
S419R,Argyrades 2 Center,Αργυράδες 2 Κέντρο,"B1, B12, B2, B3, SCHOOL",39.436949220351,19.975935612499
S418R,Argyrades 1,Αργυράδες 1,"B1, B12, B2, B3, SCHOOL",39.437395657849,19.970264693484
S417R,Argyrades School,Σχολείο Αργυράδων,"B1, B12, B2, B3, SCHOOL",39.43831847337,19.96733875873
S509R,Ano Garouna Junction,Διασταύρωση Άνω Γαρούνα,"B13, B8, B9, SCHOOL",39.552763081582,19.862766200509
S504R,Kastellanoi,Καστελλάνοι,"B13, B8, B9, SCHOOL",39.562652391,19.866037995175
S440R,Lefkimmi,Λευκίμμη 1 (Supermarket Masoutis),"B1, B3, SCHOOL",39.422242199057,20.043431737472
S439R,Vitaladon Junction (Varelis),Διασταύρωση Βιταλάδων (Βάρελης),"B1, B3, SCHOOL",39.418993844775,20.033472094086
S436R,Vitalades Junction (Gouli),Διασταύρωση Βιταλάδων (Γουλή),"B1, B3, SCHOOL",39.418880169616,20.019388894685
S435R,Perivoli 3 Center,Περιβόλι 3 Κέντρο,"B1, B3, SCHOOL",39.420903692944,20.014274074219
S434R,Perivoli 2,Περιβόλι 2,"B1, B3, SCHOOL",39.423644087011,20.009377089603
S433R,Perivoli 1,Περιβόλι 1,"B1, B3, SCHOOL",39.423962854633,20.007011133561
S432R,Perivoli Junction,Διασταύρωση Περιβολίου,"B1, B3, SCHOOL",39.425254338779,20.001772086324
S802,Marathias (Center),Μαραθιάς (Κέντρο),SCHOOL,39.426931735147,19.994999729338
S431R,Marathias 3,Μαραθιάς 3,"B1, B3, SCHOOL",39.428605957873,19.99526982892
S430R,Marathias 2,Μαραθιάς 2,"B1, B3, SCHOOL",39.429686228569,19.991909357224
S429R,Marathias 1,Μαραθιάς 1,"B1, B3, SCHOOL",39.430747940323,19.988102186618
S428R,Argyrades 3,Αργυράδες 3,"B1, B3, SCHOOL",39.434220918461,19.979168850952
S652,Άγιος Γεώργιος 10,Άγιος Γεώργιος 10,"B1, SCHOOL",39.42589822076,19.947332224281
S410R,Agiou Georgiou Junction,Διασταύρωση Αγίου Γεωργίου,"B1, B12, B2, B3, SCHOOL",39.442988536651,19.954464569756
S407R,Linia 4 Chlomos Junction,Λίνια 4 Διασταύρωση Χλωμού,"B1, B12, B2, B3, SCHOOL",39.443259933078,19.943830921833
S406R,Linia,Λίνια 3 (Super Market),"B1, B12, B2, B3, SCHOOL",39.443883075848,19.940897898591
S405R,Linia 2,Λίνια 2,"B1, B12, B2, B3, SCHOOL",39.446933417009,19.932793688386
S404R,Linia 1,Λίνια 1,"B1, B12, B2, B3, SCHOOL",39.447700095456,19.93094319405
S545R,Alevropari 3,Αλευροπάρι 3,"B1, B12, B2, B3, SCHOOL",39.453824824026,19.923120591629
S403R,Alevropari 2,Αλευροπάρι 2,"B1, B12, B2, B3, SCHOOL",39.45577049682,19.919524902776
S402R,Alevropari 1,Αλευροπάρι 1,"B1, B12, B2, B3, SCHOOL",39.459081411119,19.914639148623
S546R,Vragkaniotika,Βραγκανιώτικα 3 (Mavroudis Olive oil),"B1, B12, B2, B3, SCHOOL",39.461404207163,19.91407653975
S401R,Vragkaniotika 2,Βραγκανιώτικα 2,"B1, B12, B2, B3, SCHOOL",39.464847369426,19.912829686337
S400R,Vragkaniotika 1,Βραγκανιώτικα 1,"B1, B12, B2, B3, SCHOOL",39.466536529412,19.912687442242
S399R,Ano Mesongi,Άνω Μεσογγή,"B1, B12, B2, B3, SCHOOL",39.474819513931,19.912112310334
S388,Mesongi Junction (to Boukari),Μεσογγή κόμβος (προς Μπούκαρη),"B1, B12, B2, B7, B8, SCHOOL",39.478723130497,19.927034501783
S342,Private MOT,Ιδιωτικό ΚΤΕΟ,"B1, B10, B12, B13, B14, B15, B16, B19, B2, B3, B7, B8, B9",39.613166753443,19.906361092824
S344,Kallithea,Καλλιθέα,"B1, B10, B12, B13, B14, B15, B16, B19, B2, B3, B7, B8, B9",39.609321843337,19.899139522713
S345,Kanalia,Κανάλια,"B1, B10, B12, B13, B14, B15, B16, B19, B2, B3, B7, B8, B9",39.606731977168,19.894763169218
S347,Tsarou,Τσάρου,"B1, B10, B12, B13, B14, B15, B16, B19, B2, B3, B7, B8, B9",39.599415054934,19.893658288006
S349,Vryoni (Vyrou Junction),Βρυώνη (Διασταύρωση Βυρού),"B1, B10, B12, B13, B14, B15, B16, B19, B2, B3, B7, B8, B9",39.592097985683,19.892591393302
S544,Vryoni Agathou (to Kavos),Βρυώνη Αγάθου (προς Κάβο),"B1, B12, B13, B2, B3, B7",39.590560607093,19.892892385211
S350,Junction (Masoutis),Κόμβος (Masoutis),"B1, B12, B13, B2, B3, B7",39.590628758335,19.895823602173
S351,Agia Kyriaki,Αγία Κυριακή,"B1, B12, B13, B2, B3, B7",39.589059122348,19.900420501948
S352,Pakia,Πάκια,"B1, B12, B13, B2, B3, B7",39.586213172696,19.902596779569
S354,Hotel Argo,Hotel Argo,"B1, B12, B13, B2, B3, B7",39.585756418823,19.910282665472
S355,Aegli Hotel,Aegli Hotel,"B1, B12, B13, B2, B3, B7",39.586123852345,19.914078265425
S357,Perama,Πέραμα,"B1, B12, B13, B2, B3, B7",39.579844020859,19.913147853724
S358,Coco Banana,Coco Banana,"B1, B12, B13, B2, B3, B7",39.576812540158,19.913363349279
S359,Eleals Boutique Hotel,Eleals Boutique Hotel,"B1, B12, B13, B2, B3, B7",39.573094424967,19.911449038683
S360,Aeolos Beach Resort,Aeolos Beach Resort,"B1, B12, B13, B2, B3, B7",39.568418438443,19.909233598695
S361,Kaiser's Bridge,Γέφυρα Kaiser,"B1, B12, B13, B2, B3, B7",39.564538098692,19.91014389252
S363,El Greco Hotel,El Greco Hotel,"B1, B12, B13, B2, B3, B7",39.558748623267,19.91125165015
S364,Angsana Corfu,Angsana Corfu,"B1, B12, B13, B2, B3, B7",39.554893480457,19.912055418184
S367,Benitses (Center),Μπενίτσες (κέντρο),"B1, B12, B13, B2, B3, B7",39.546321319365,19.913503049381
