ID,EN_NAME,GR_NAME,LAT,LONG
453,ST. ANDREAS TO TOWN,ΑΓΙΟΣ ΑΝΤΡΕΑΣ ΠΡΟΣ ΠΟΛΗ,39.633304,19.852076
454,ST. SPIRIDON TO TOWN,ΑΓΙΟΣ ΣΠΥΡΙΔΩΝ ΠΡΟΣ ΠΟΛΗ,39.633255,19.849681
455,ELVIRA TO TOWN,ΕΛΒΥΡΑ ΠΡΟΣ ΠΟΛΗ,39.633307,19.846353
456,KATAKALI TO TOWN,ΚΑΤΑΚΑΛΙ ΠΡΟΣ ΠΟΛΗ,39.633639,19.844581
457,BARBA GIANNIS TO TOWN,ΜΠΑΡΜΠΑ ΓΙΑΝΝΗΣ ΠΡΟΣ ΠΟΛΗ,39.636298,19.840265
458,KIRA CHRISIKOU TO TOWN,ΚΥΡΑ ΧΡΙΣΙΚΟΥ ΠΡΟΣ ΠΟΛΗ,39.637238,19.839115
459,KOURKOULOU TO TOWN,ΚΟΥΡΚΟΥΛΟΥ ΠΡΟΣ ΠΟΛΗ,39.638521,19.837531
460,KAKOTRAFOS TO TOWN,ΚΑΚΟΤΡΑΦΟΣ ΠΡΟΣ ΠΟΛΗ,39.640641,19.837010
461,BOUA TO TOWN,ΜΠΟΥΑ ΠΡΟΣ ΠΟΛΗ,39.641656,19.833420
462,VOLIMIA TO TOWN,ΒΟΛΙΜΙΑ ΠΡΟΣ ΠΟΛΗ,39.639810,19.829730
463,SOMA TO TOWN,ΣΩΜΑ ΠΡΟΣ ΠΟΛΗ,39.640481,19.822812
464,MERKOURI TO TOWN,ΜΕΡΚΟΥΡΗ ΠΡΟΣ ΠΟΛΗ,39.642081,19.817627
465,GRAIKOU TO TOWN,ΓΡΑΙΚΟΥ ΠΡΟΣ ΠΟΛΗ,39.644012,19.813208
466,CHONDROGIANNI TO TOWN,ΧΟΝΔΡΟΓΙΑΝΝΗ ΠΡΟΣ ΠΟΛΗ,39.643535,19.808646
467,TEBLONI TO TOWN,ΤΕΜΠΛΟΝΙ ΠΡΟΣ ΠΟΛΗ,39.640820,19.804670
469,POLICHOMA 2,ΠΟΛΥΧΩΜΑ 2,39.632368,19.854296
470,POLICHOMA 1,ΠΟΛΥΧΩΜΑ 1,39.631645,19.856599
471,DAFARI,ΝΤΑΦΑΡΙ,39.631480,19.862422
472,ELTA TO TOWN,ΕΛΤΑ ΠΡΟΣ ΠΟΛΗ,39.625827,19.877966
473,1ST PEROULAKI TO TOWN,1Η ΠΕΡΟΥΛΑΚΗ ΠΡΟΣ ΠΟΛΗ,39.631965,19.879597
474,ST. ANDREAS,ΑΓΙΟΣ ΑΝΤΡΕΑΣ,39.633360,19.852150
475,ST. SPIRIDON,ΑΓΙΟΣ ΣΠΥΡΙΔΩΝ,39.633323,19.849670
476,ELVIRA,ΕΛΒΥΡΑ,39.633380,19.846372
477,KATAKALI,ΚΑΤΑΚΑΛΙ,39.633701,19.844563
478,BARBA GIANNIS,ΜΠΑΡΜΠΑ ΓΙΑΝΝΗΣ,39.636368,19.840324
479,KIRA CHRISIKOU,ΚΥΡΑ ΧΡΙΣΙΚΟΥ,39.637293,19.839166
480,KOURKOULOU,ΚΟΥΡΚΟΥΛΟΥ,39.638535,19.837620
481,KAKOTRAFOS,ΚΑΚΟΤΡΑΦΟΣ,39.640650,19.837107
482,BOUA,ΜΠΟΥΑ,39.641729,19.833419
483,VOLIMIA,ΒΟΛΙΜΙΑ,39.639873,19.829723
484,SOMA,ΣΩΜΑ,39.640543,19.822851
486,GRAIKOU,ΓΡΑΙΚΟΥ,39.644075,19.813229
487,CHONDROGIANNI,ΧΟΝΔΡΟΓΙΑΝΝΗ,39.643583,19.808619
488,KOBOLITI TO TOWN,ΚΟΜΠΟΛΙΤΗ ΠΡΟΣ ΠΟΛΗ,39.635447,19.842103
489,KOBOLITI,ΚΟΜΠΟΛΙΤΗ,39.635459,19.842216
501,MITROPOLITOU METHODIOU,ΜΗΤΡΟΠΟΛΙΤΟΥ ΜΕΘΟΔΙΟΥ,39.620331,19.917127
502,VILLA ROSSA,VILLA ROSSA,39.619223,19.915443
503,GEORGOPOULOU,ΓΕΩΡΓΟΠΟΥΛΟΥ,39.616723,19.913960
504,PAGKRATEIKA,ΠΑΓΚΡΑΤΕΙΚΑ,39.611823,19.912810
506,TRIA GEFIRIA,ΤΡΙΑ ΓΕΦΥΡΙΑ,39.611370,19.904830
507,KALLITHEA,ΚΑΛΛΙΘΕΑ,39.609304,19.899122
508,KANALIA JUMBO,ΚΑΝΑΛΙΑ JUMBO,39.606748,19.894773
509,DAVIOU,ΝΤΑΒΙΟΥ,39.601921,19.894560
510,TSAROU,ΤΣΑΡΟΥ,39.599366,19.893668
511,PSATHA,ΨΑΘΑ,39.595362,19.892818
512,VRIONI,ΒΡΥΩΝΗ,39.592120,19.892580
513,AGATHOU KEP,ΑΓΑΘΟΥ ΚΕΠ,39.590148,19.893042
514,ITALIKO,ΙΤΑΛΙΚΟ,39.587655,19.892828
515,ST. PROKOPIS JUNCTION,ΔΙΑΣΤΑΥΡΩΣΗ ΑΓΙΟΥ ΠΡΟΚΟΠΙΟΥ,39.585119,19.892816
516,PERDIKOMATI,ΠΕΡΔΙΚΟΜΑΤΗ,39.579070,19.892960
517,TZITZIFIES,ΤΖΙΤΖΙΦΙΕΣ,39.573170,19.892840
518,PONTI BINTZAN INN HOTEL,ΠΟΝΤΗ BINTZAN INN HOTEL,39.570700,19.892758
519,SFAGIA,ΣΦΑΓΕΙΑ,39.568655,19.890088
520,MILIA,ΜΗΛΙΑ,39.566619,19.886565
521,ST. DEKAS JUNCTION,ΔΙΑΣΤΑΥΡΩΣΗ ΑΓΙΩΝ ΔΕΚΑ,39.565536,19.884974
522,KINOPIASTES,ΚΥΝΟΠΙΑΣΤΕΣ,39.565904,19.880123
523,SPATHA,ΣΠΑΘΑ,39.564086,19.872375
524,KASTELLANOI JUNCTION,ΔΙΑΣΤΑΥΡΩΣΗ ΚΑΣΤΕΛΛΑΝΟΙ,39.563962,19.869831
525,HIGH SCHOOL KASTELLANON TO TOWN,ΓΥΜΝΑΣΙΟ ΛΥΚΕΙΟ ΚΑΣΤΕΛΛΑΝΩΝ ΠΡΟΣ ΠΟΛΗ,39.563988,19.866394
526,POLICE STATION KASTELLANOI,ΑΣΤΥΝΟΜΙΑ ΚΑΣΤΕΛΛΑΝΩΝ,39.566205,19.867318
527,KASTELLANOI,ΚΑΣΤΕΛΛΑΝΟΙ,39.567037,19.863859
528,KOURAMADES JUNCTION,ΔΙΑΣΤΑΥΡΩΣΗ ΚΟΥΡΑΜΑΔΩΝ,39.567370,19.859304
529,TERMINAL KOURAMADES TO TOWN,ΤΕΡΜΑ ΚΟΥΡΑΜΑΔΕΣ ΠΡΟΣ ΠΟΛΗ,39.569746,19.857450
530,KOURAMADES JUNCTION TO TOWN,ΔΙΑΣΤΑΥΡΩΣΗ ΚΟΥΡΑΜΑΔΩΝ ΠΡΟΣ ΠΟΛΗ,39.567353,19.859170
531,KASTELLANOI TO TOWN,ΚΑΣΤΕΛΛΑΝΟΙ ΠΡΟΣ ΠΟΛΗ,39.566970,19.863850
532,POLICE STATION KASTELLANOI TO TOWN,ΑΣΤΥΝΟΜΙΑ ΚΑΣΤΕΛΛΑΝΩΝ ΠΡΟΣ ΠΟΛΗ,39.566396,19.866772
533,KASTELLANOI JUNCTION TO TOWN,ΔΙΑΣΤΑΥΡΩΣΗ ΚΑΣΤΕΛΛΑΝΟΙ ΠΡΟΣ ΠΟΛΗ,39.564106,19.869967
534,SPATHA TO TOWN,ΣΠΑΘΑ ΠΡΟΣ ΠΟΛΗ,39.563987,19.872495
535,KINOPIASTES TO TOWN,ΚΥΝΟΠΙΑΣΤΕΣ ΠΡΟΣ ΠΟΛΗ,39.565834,19.880205
536,ST. DEKA JUNCTION TO TOWN,ΔΙΑΣΤΑΥΡΩΣΗ ΑΓΙΩΝ ΔΕΚΑ ΠΡΟΣ ΠΟΛΗ,39.565560,19.885142
537,MILIA TO TOWN,ΜΗΛΙΑ ΠΡΟΣ ΠΟΛΗ,39.566550,19.886579
538,SFAGIA TO TOWN,ΣΦΑΓΕΙΑ ΠΡΟΣ ΠΟΛΗ,39.568524,19.890052
539,PONTH BINTZAN INN HOTEL TO TOWN,ΠΟΝΤΗ BINTZAN INN HOTEL ΠΡΟΣ ΠΟΛΗ,39.570598,19.892881
540,TZITZIFIES,ΤΖΙΤΖΙΦΙΕΣ,39.572920,19.892942
541,PERDIKOMATI,ΠΕΡΔΙΚΟΜΑΤΗ,39.579163,19.893075
542,ST. PROKOPIS JUNCTION,ΔΙΑΣΤΑΥΡΩΣΗ ΑΓΙΟΥ ΠΡΟΚΟΠΙΟΥ,39.584668,19.893150
543,ITALIKO,ΙΤΑΛΙΚΟ,39.587768,19.892972
544,AGATHOU KEP TO TOWN,ΑΓΑΘΟΥ ΚΕΠ ΠΡΟΣ ΠΟΛΗ,39.590194,19.893168
545,VRIONI TO TOWN,ΒΡΥΩΝΗ ΠΡΟΣ ΠΟΛΗ,39.592148,19.892684
546,PSATHA TO TOWN,ΨΑΘΑ ΠΡΟΣ ΠΟΛΗ,39.595248,19.892910
547,TSAROU TO TOWN,ΤΣΑΡΟΥ ΠΡΟΣ ΠΟΛΗ,39.599388,19.893830
548,DAVIOU TO TOWN,ΝΤΑΒΙΟΥ ΠΡΟΣ ΠΟΛΗ,39.601857,19.894659
549,KANALIA JUMBO TO TOWN,ΚΑΝΑΛΙΑ JUMBO ΠΡΟΣ ΠΟΛΗ,39.606366,19.894446
550,KALLITHEA TO TOWN,ΚΑΛΛΙΘΕΑ ΠΡΟΣ ΠΟΛΗ,39.609289,19.899272
551,TRIA GEFIRIA TO TOWN,ΤΡΙΑ ΓΕΦΥΡΙΑ ΠΡΟΣ ΠΟΛΗ,39.611264,19.904997
554,GEORGOPOULOU TO TOWN,ΓΕΩΡΓΟΠΟΥΛΟΥ ΠΡΟΣ ΠΟΛΗ,39.616680,19.914061
555,PSICHIATRIO SQUARE,ΠΛΑΤΕΙΑ ΨΥΧΙΑΤΡΕΙΟΥ,39.621377,19.916456
556,GREEN BUS STATION,ΥΠΕΡΑΣΤΙΚO ΚΤΕΛ,39.615757,19.912023
557,LIDL,LIDL,39.615022,19.909666
558,KTEO,ΚΤΕΟ,39.613390,19.906574
559,KTEO TO TOWN,ΚΤΕΟ ΠΡΟΣ ΠΟΛΗ,39.613212,19.906737
560,LIDL TO TOWN,LIDL ΠΡΟΣ ΠΟΛΗ,39.614489,19.909054
561,GREEN BUS STATION TO TOWN,ΥΠΕΡΑΣΤΙΚO ΚΤΕΛ ΠΡΟΣ ΠΟΛΗ,39.615534,19.911748
562,COREXPO,COREXPO,39.581764,19.893234
564,COREXPO,COREXPO,39.582172,19.893161
565,BARBA THOMAS,ΜΠΑΡΜΠΑ ΘΩΜΑΣ,39.575236,19.893020
566,BARBA THOMAS,ΜΠΑΡΜΠΑ ΘΩΜΑΣ,39.575378,19.892923
567,AIRPORT TO TOWN,ΑΕΡΟΔΡΟΜΙΟ ΠΡΟΣ ΠΟΛΗ,39.608176,19.914689
568,TRAFFIC LIGHTS AIRPORT,ΦΑΝΑΡΙΑ ΑΕΡΟΔΡΟΜΙΟΥ,39.613079,19.910513
569,TRAFFIC LIGHTS ARIPORT TO TOWN,ΦΑΝΑΡΙΑ ΑΕΡΟΔΡΟΜΙΟΥ ΠΡΟΣ ΠΟΛΗ,39.613057,19.910630
570,PAGKRATEIKA TO TOWN,ΠΑΓΚΡΑΤΕΙΚΑ ΠΡΟΣ ΠΟΛΗ,39.611871,19.913225
571,PONTI BINTZAN INN HOTEL TO ACHILLION,ΠΟΝΤΗ BINTZAN INN HOTEL ΠΡΟΣ ΑΧΙΛΛΕΙΟΝ,39.570424,19.892954
613,SUPER MARKET MARKATO,SUPER MARKET MARKATO,39.590622,19.895808
614,ST. KIRIAKI,ΑΓΙΑ ΚΥΡΙΑΚΗ,39.589047,19.900414
615,PAKIA,ΠΑΚΙΑ,39.586331,19.902498
616,IDRAGOGIO,ΥΔΡΑΓΩΓΕΙΟ,39.585295,19.906580
617,ARGO,ΑΡΓΩ,39.585688,19.910164
618,HOTEL AEGLI,ΞΕΝΟΔΟΧΕΙΟ AEGLI,39.586160,19.914002
619,TAVERNA GIANNIS,ΤΑΒΕΡΝΑ ΓΙΑΝΝΗΣ,39.582325,19.913628
620,PERAMA,ΠΕΡΑΜΑ,39.579858,19.913139
621,COCO BANANA,COCO BANANA,39.576642,19.913362
622,HOTEL ELEALS,ΞΕΝΟΔΟΧΕΙΟ ELEALS,39.573091,19.911445
623,HOTEL AEOLOS,ΞΕΝΟΔΟΧΕΙΟ AEOLOS,39.568406,19.909208
624,KAIZER BRIDGE,ΓΕΦΥΡΑ KAIZER,39.564541,19.910115
625,HOTEL KAIZER,ΞΕΝΟΔΟΧΕΙΟ KAIZER,39.561758,19.910405
626,HOTEL EL GRECO,ΞΕΝΟΔΟΧΕΙΟ EL GRECO,39.558761,19.911255
627,HOTEL ANGSANA,ΞΕΝΟΔΟΧΕΙΟ ANGSANA,39.554883,19.912059
628,HOTEL GRANDE MARE,ΞΕΝΟΔΟΧΕΙΟ GRANDE MARE,39.552273,19.912557
629,SCHOOL OF BENITSES,ΣΧΟΛΕΙΟ ΜΠΕΝΙΤΣΕΣ,39.547981,19.912261
630,CENTER OF BENITSES,ΚΕΝΤΡΟ ΜΠΕΝΙΤΣΩΝ,39.546327,19.913479
631,POTAMAKI,ΠΟΤΑΜΑΚΙ,39.544439,19.914405
632,AURA,ΑΥΡΑ,39.541244,19.914850
633,STADIUM BENITSES,ΣΤΑΔΙΟ ΜΠΕΝΙΤΣΕΣ,39.540318,19.916124
634,OLD TERMINAL BENITSA,ΠΑΛΙΟ ΤΕΡΜΑ ΜΠΕΝΙΤΣΑΣ,39.537913,19.916849
635,HOTEL KARINA,ΞΕΝΟΔΟΧΕΙΟ ΚΑΡΙΝΑ,39.534882,19.918424
636,SPYROS APARTMENTS,ΔΙΑΜΕΡΙΣΜΑΤΑ ΣΠΥΡΟΣ,39.529865,19.921012
637,BELLOS BEACH HOTEL TO TOWN,BELLOS BEACH HOTEL ΠΡΟΣ ΠΟΛΗ,39.525378,19.922650
638,SPYROS APARTMENTS TO TOWN,ΔΙΑΜΕΡΙΣΜΑΤΑ ΣΠΥΡΟΣ ΠΡΟΣ ΠΟΛΗ,39.529855,19.921165
